Longitude,Latitude,NDVI
-53.993175475,-31.320918761111,0.725842307692308
-53.993160972222,-31.3204607,0.7434
-53.993146469444,-31.320002636111,0.676105
-53.992656397222,-31.321389272222,0.79598125
-53.992641897222,-31.320931211111,0.717631428571429
-53.992627397222,-31.320473147222,0.643974193548387
-53.992612897222,-31.320015086111,0.71285
-53.992598397222,-31.319557025,0.823651612903226
-53.992583897222,-31.319098963889,0.755165714285714
-53.992569397222,-31.318640902778,0.717411764705882
-53.992137313889,-31.321859780556,0.760821212121212
-53.992122816667,-31.321401719444,0.809941666666667
-53.992108316667,-31.320943658333,0.773874358974359
-53.992093819444,-31.320485594444,0.796160465116279
